Case 1 - Ha = 0,,,,,,,,,,,,,Case 2 - Ha = 8,,,,,,,,,,,,,Case 3 - Ha = 16,,,,,,,,,,,
y/delta,U+,y/delta,theta (temp),y/delta,u'v',y/delta,u'u',y/delta,v'v',y/delta,w'w',,y/delta,U+,y/delta,theta,y/delta,u'v',y/delta,u'u',y/delta,v'v',y/delta,w'w',,y/delta,U+,y/delta,theta,y/delta,u'v',y/delta,u'u',y/delta,v'v',y/delta,w'w'
0.00373094438861682,0.468602339056252,0.010934393638171,0.0107753479125248,0.00368576892233669,0.0010610079575597,0.000952380952381149,0.00438596491228083,0.00285714285714273,0.00881057268722474,0.000938086303940044,0,,0.00557396677428312,0.848025485878001,0.0149105367793241,0.0200122342865883,0.00369090946476675,0.00318302387267899,0.002857142857143,-0.00438596491228083,0.0238095238095237,0.0396475770925115,0.00469043151969989,0.0110497237569058,,0.00553120523401246,1.07124072609095,0.0129224652087475,0.0107784064841718,0.00175292496864271,0.00318302387267899,0.002857142857143,0.00438596491228083,0.00666666666666654,0.00440528634361259,0.00469043151969989,0.0386740331491708
0.00744264608411188,1.09351948857198,0.0308151093439364,0.0569597797828414,0.0118438097588057,-0.00954907161803709,0.00476190476190497,0.109649122807018,0.0219047619047618,0.0660792951541849,0.00281425891181997,0.204419889502762,,0.0204207735562634,3.3476940839409,0.0506958250497018,0.0769903654993119,0.0137766537124998,-0.0074270557029178,0.00476190476190497,0.100877192982456,0.00857142857142845,0.00881057268722474,0.00656660412757981,0.143646408839779,,0.00736567531162463,1.49530692095529,0.0308151093439364,0.0338828567059182,0.0215028889848457,0.00318302387267899,0.00666666666666682,0.162280701754386,0.0390476190476189,0.0308370044052864,0.00844277673545973,0.176795580110496
0.0111714523957152,1.62915054200252,0.0467196819085487,0.0877534791252485,0.0196420126251722,-0.0286472148541115,0.002857142857143,0.25,0.0352380952380951,0.162995594713657,0.00469043151969989,0.3646408839779,,0.0222381390177673,3.86104637489042,0.0387673956262425,0.0554335525309682,0.0235128410749902,-0.026525198938992,0.00666666666666682,0.263157894736842,0.0352380952380951,0.0704845814977975,0.00656660412757981,0.303867403314917,,0.00724594299886677,2.12030959355156,0.0447316103379722,0.0539042667074476,0.0428618427816503,-0.0137931034482759,0.0161904761904763,0.31140350877193,0.0790476190476189,0.101321585903084,0.0140712945590995,0.342541436464088
0.0129759893951379,2.20946740501593,0.0586481113320079,0.110848753632054,0.0235848086690108,-0.0562334217506632,0.00666666666666682,0.399122807017544,0.0485714285714285,0.246696035242291,0.00656660412757981,0.519337016574585,,0.0278570054093348,4.53056381090847,0.0646123260437376,0.0985502370393027,0.0313418871959369,-0.0583554376657826,0.00857142857142867,0.346491228070176,0.0523809523809523,0.136563876651982,0.00844277673545973,0.447513812154696,,0.0109790254644971,2.63361912296081,0.0606361829025845,0.0739287352806239,0.0642567803754653,-0.0456233421750664,0.0238095238095239,0.43859649122807,0.132380952380952,0.215859030837005,0.0234521575984992,0.502762430939226
0.0185948557867054,2.87898484103397,0.0705765407554672,0.138559412754244,0.0294707297514034,-0.0859416445623342,0.00857142857142867,0.539473684210526,0.0619047619047617,0.348017621145375,0.0103189493433397,0.69060773480663,,0.0315815355669111,5.08851638836031,0.0785288270377734,0.120110108579294,0.0372278082783296,-0.0880636604774537,0.0104761904761906,0.442982456140351,0.0752380952380952,0.233480176211454,0.0121951219512196,0.574585635359116,,0.0165166449295504,3.72724551538346,0.0765407554671968,0.0939532038538002,0.0895122653342381,-0.0710875331564987,0.0295238095238097,0.565789473684211,0.187619047619048,0.343612334801762,0.0347091932457787,0.657458563535911
0.0242094460242457,3.57082380107332,0.0825049701789264,0.160116225722587,0.0334186663376719,-0.115649867374005,0.0104761904761906,0.666666666666667,0.077142857142857,0.449339207048458,0.0121951219512196,0.87292817679558,,0.0353060657244873,5.64646896581215,0.0924453280318091,0.141669980119284,0.0431188699031522,-0.119893899204244,0.0104761904761906,0.570175438596491,0.0942857142857142,0.325991189427313,0.0140712945590995,0.729281767955801,,0.0146864510059652,3.28085779649783,0.0924453280318091,0.1170545955039,0.118607735488249,-0.0816976127320955,0.0371428571428573,0.692982456140351,0.237142857142857,0.449339207048458,0.0459662288930582,0.817679558011049
0.0279297000277949,4.15109790254645,0.0944333996023857,0.184749961767854,0.0373820245512306,-0.151724137931035,0.0123809523809525,0.798245614035088,0.0942857142857142,0.581497797356828,0.0140712945590995,1.03867403314917,,0.040942036732163,6.22670030574501,0.106361829025845,0.161691390120814,0.0470668064894207,-0.149602122015915,0.0142857142857145,0.719298245614035,0.117142857142857,0.422907488986784,0.0159474671669794,0.856353591160221,,0.0220970259348741,4.59765666759317,0.108349900596421,0.135540602538615,0.147667221845249,-0.0774535809018567,0.0447619047619049,0.820175438596491,0.29047619047619,0.550660792951542,0.0572232645403378,0.983425414364641
0.0316542301853712,4.70905047999829,0.108349900596421,0.209386756384768,0.0393868360989452,-0.179310344827586,0.0142857142857145,0.894736842105263,0.115238095238095,0.704845814977974,0.0159474671669794,1.20441988950276,,0.0465780077398388,6.80693164567788,0.120278330019881,0.183251261660805,0.0529527275718134,-0.179310344827586,0.0180952380952382,0.864035087719298,0.138095238095238,0.519823788546256,0.0196998123827393,0.988950276243094,,0.0183468388531354,4.1736332342691,0.124254473161034,0.157103532650252,0.176706146032529,-0.0647214854111406,0.0561904761904763,0.942982456140351,0.345714285714286,0.638766519823789,0.077861163227017,1.14364640883978
0.0334887002629835,5.13311667486263,0.120278330019881,0.230943569353112,0.0433553348549339,-0.217506631299735,0.0161904761904763,1.00438596491228,0.132380952380952,0.828193832599119,0.0196998123827393,1.35359116022099,,0.0522097025934873,7.40948450963204,0.134194831013917,0.204811133200795,0.056900664158082,-0.209018567639257,0.0180952380952382,1.0219298245614,0.160952380952381,0.616740088105727,0.0215759849906192,1.15469613259668,,0.0277672061747663,4.99931581535567,0.142147117296223,0.178669521333537,0.203807085723686,-0.0519893899204243,0.0695238095238097,1.06140350877193,0.400952380952381,0.709251101321586,0.0909943714821765,1.23204419889503
0.0391289474246862,5.6910264907742,0.13220675944334,0.247884997706071,0.0492669586494767,-0.257824933687003,0.0180952380952382,1.12719298245614,0.151428571428571,0.94273127753304,0.0215759849906192,1.50828729281768,,0.059727181373073,8.16824528019499,0.150099403578529,0.226374063312433,0.0608537412867806,-0.240848806366048,0.021904761904762,1.14912280701754,0.185714285714286,0.713656387665199,0.0253283302063791,1.32044198895028,,0.0334031771824421,5.57954715528853,0.158051689860835,0.197155528368252,0.227032056422594,-0.0392572944297083,0.082857142857143,1.12280701754386,0.456190476190476,0.766519823788546,0.107879924953096,1.31491712707182
