Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
12000
455.0	0.1	0.0741420933967713	13.48761485123574	-5.8274752799288025	-844.874389125	0.0	29.8844886150195	30.494376137775	4727.216315591789	0.0	597.2949261758855	42.45667925	Liquid
455.09542461871825	0.1	0.07414091061925508	13.487830020532426	-5.824540045770924	-844.4551565427585	0.0	29.88406010673006	30.49393888441843	4727.254022323649	0.0	597.134708617683	42.4603709912604	Liquid
455.19084923743645	0.1	0.07413972783267646	13.488045198343155	-5.821604900416185	-844.0359299716079	0.0	29.883631634489532	30.493501667846463	4727.291730246747	0.0	596.9745844578621	42.464062506149155	Liquid
455.2862738561547	0.1	0.07413854503703494	13.488260384668502	-5.8186698438542575	-843.6167094110417	0.0	29.88320319829789	30.49306448805907	4727.329439361155	0.0	596.8145536161427	42.467753794666294	Liquid
455.3816984748729	0.1	0.07413736223233013	13.48847557950903	-5.815734876074826	-843.1974948605551	0.0	29.882774798155143	30.49262734505627	4727.367149666943	0.0	596.6546160123335	42.47144485681181	Liquid
455.47712309359116	0.1	0.07413617941856156	13.488690782865307	-5.812799997067569	-842.7782863196418	0.0	29.88234643406129	30.492190238838052	4727.404861164182	0.0	596.4947715663321	42.475135692585695	Liquid
455.57254771230936	0.1	0.0741349965957288	13.4889059947379	-5.809865206822172	-842.3590837877963	0.0	29.881918106016343	30.491753169404433	4727.4425738529435	0.0	596.3350201981273	42.47882630198795	Liquid
455.6679723310276	0.1	0.07413381376383142	13.489121215127373	-5.806930505328306	-841.9398872645125	0.0	29.881489814020284	30.491316136755394	4727.480287733297	0.0	596.1753618277971	42.48251668501858	Liquid
455.7633969497458	0.1	0.07413263092286897	13.489336444034294	-5.803995892575662	-841.5206967492854	0.0	29.881061558073135	30.490879140890954	4727.518002805314	0.0	596.0157963755088	42.48620684167759	Liquid
455.85882156846407	0.1	0.07413144807284107	13.489551681459218	-5.801061368553907	-841.1015122416086	0.0	29.880633338174864	30.490442181811087	4727.555719069064	0.0	595.856323761519	42.48989677196497	Liquid
455.95424618718226	0.1	0.07413026521374723	13.489766927402725	-5.798126933252733	-840.682333740977	0.0	29.880205154325495	30.49000525951581	4727.5934365246185	0.0	595.6969439061733	42.493586475880726	Liquid
456.0496708059005	0.1	0.07412908234558702	13.489982181865376	-5.7951925866618135	-840.2631612468842	0.0	29.879777006525025	30.489568374005128	4727.631155172047	0.0	595.5376567299076	42.497275953424854	Liquid
456.1450954246187	0.1	0.07412789946836001	13.490197444847734	-5.792258328770832	-839.8439947588251	0.0	29.879348894773454	30.489131525279035	4727.668875011422	0.0	595.378462153245	42.50096520459735	Liquid
456.24052004333697	0.1	0.07412671658206577	13.490412716350372	-5.789324159569466	-839.4248342762935	0.0	29.878920819070775	30.488694713337527	4727.706596042813	0.0	595.2193600967996	42.50465422939823	Liquid
456.33594466205517	0.1	0.0741255336867039	13.490627996373844	-5.786390079047397	-839.0056797987843	0.0	29.87849277941699	30.488257938180602	4727.744318266289	0.0	595.0603504812727	42.50834302782748	Liquid
456.4313692807734	0.1	0.07412435078227386	13.490843284918734	-5.783456087194304	-838.5865313257912	0.0	29.878064775812103	30.48782119980827	4727.782041681925	0.0	594.901433227454	42.512031599885105	Liquid
456.5267938994916	0.1	0.07412316786877535	13.491058581985587	-5.78052218399987	-838.1673888568088	0.0	29.877636808256113	30.487384498220525	4727.819766289788	0.0	594.7426082562222	42.51571994557109	Liquid
456.6222185182099	0.1	0.0741219849462078	13.491273887574994	-5.777588369453772	-837.7482523913311	0.0	29.87720887674902	30.486947833417368	4727.857492089952	0.0	594.5838754885466	42.51940806488546	Liquid
456.7176431369281	0.1	0.07412080201457086	13.491489201687502	-5.774654643545694	-837.3291219288527	0.0	29.87678098129083	30.486511205398806	4727.895219082484	0.0	594.4252348454805	42.52309595782821	Liquid
456.81306775564633	0.1	0.07411961907386408	13.491704524323684	-5.77172100626531	-836.9099974688677	0.0	29.876353121881525	30.48607461416482	4727.932947267456	0.0	594.2666862481689	42.52678362439932	Liquid
456.9084923743645	0.1	0.07411843612408701	13.491919855484106	-5.768787457602307	-836.4908790108706	0.0	29.87592529852112	30.48563805971543	4727.97067664494	0.0	594.1082296178431	42.530471064598814	Liquid
457.0039169930828	0.1	0.07411725316523922	13.492135195169336	-5.765853997546358	-836.0717665543552	0.0	29.87549751120961	30.48520154205062	4728.008407215006	0.0	593.9498648758236	42.53415827842668	Liquid
457.099341611801	0.1	0.07411607019732029	13.492350543379937	-5.7629206260871495	-835.6526600988166	0.0	29.875069759946992	30.4847650611704	4728.046138977724	0.0	593.791591943517	42.537845265882915	Liquid
457.19476623051924	0.1	0.07411488722032976	13.49256590011648	-5.75998734321436	-835.2335596437482	0.0	29.87464204473328	30.484328617074777	4728.083871933165	0.0	593.6334107424183	42.54153202696752	Liquid
457.29019084923743	0.1	0.07411370423426719	13.49278126537953	-5.757054148917667	-834.814465188645	0.0	29.874214365568456	30.48389220976373	4728.1216060814	0.0	593.4753211941103	42.545218561680514	Liquid
457.3856154679557	0.1	0.07411252123913216	13.492996639169656	-5.754121043186752	-834.3953767330006	0.0	29.873786722452536	30.483455839237283	4728.159341422501	0.0	593.3173232202646	42.54890487002187	Liquid
457.4810400866739	0.1	0.07411133823492423	13.493212021487421	-5.751188026011298	-833.9762942763101	0.0	29.873359115385508	30.483019505495417	4728.197077956537	0.0	593.1594167426366	42.5525909519916	Liquid
457.57646470539214	0.1	0.07411015522164295	13.493427412333396	-5.748255097380981	-833.5572178180671	0.0	29.872931544367383	30.482583208538145	4728.23481568358	0.0	593.0016016830715	42.556276807589704	Liquid
457.67188932411034	0.1	0.07410897219928793	13.49364281170814	-5.7453222572854825	-833.1381473577662	0.0	29.87250400939814	30.482146948365447	4728.272554603698	0.0	592.8438779635028	42.55996243681619	Liquid
457.7673139428286	0.1	0.07410778916785868	13.49385821961223	-5.742389505714484	-832.7190828949016	0.0	29.872076510477804	30.48171072497735	4728.310294716966	0.0	592.6862455059456	42.56364783967104	Liquid
457.8627385615468	0.1	0.07410660612735478	13.494073636046227	-5.739456842657664	-832.3000244289678	0.0	29.871649047606358	30.481274538373835	4728.348036023452	0.0	592.528704232509	42.567333016154265	Liquid
